PARENT GROUP,DEALER MAP CODE,LOC CD,VIN,ENGINE NUM,ORDER TYPE,VEHICLE CATEGORY,MODEL,VARIANT,COLOR,FUEL,MFG DATE,REG NUM,DATE OF REG (DD-MON-YYYY),VEHICLE CLASS (P/C)
COMPT,16763,SN8,MBHHWB13STGD38607,K12NP4979592,NB,LMV,BALENO SIGMA,BALENO SIGMA,PRME GRANDEUR GREY,PETROL(E20),01-09-2026,JK09E8551,14-Sep-26,C
COMPT,16763,SN8,MBHKWD13STH962076,K12NP7890838,NB,LMV,FRONX SIGMA 6AB,FRONX SIGMA 6AB,PEARL ARCTIC WHITE,PETROL(E20),01-08-2026,JK01BF6433,14-Sep-26,P
COMPT,16763,SN8,MBHHWB13STGD40164,K12NP4981013,NB,LMV,BALENO SIGMA,BALENO SIGMA,PRME GRANDEUR GREY,PETROL(E20),01-08-2026,JK05R0951,14-Sep-26,P
